exp_index,subject,condition,scenario,box_weight,contestant,strength,effort,resp,s1,s2,e1,e2
2a,18,fail,4,6,1,5,20,7,5,5,20,70
2a,18,fail,4,6,2,5,70,3,5,5,20,70
2a,18,fail,5,8,1,8,20,7,8,8,20,40
2a,18,fail,5,8,2,8,40,3,8,8,20,40
2a,18,fail,6,6,1,4,40,5,4,8,40,40
2a,18,fail,6,6,2,8,40,5,4,8,40,40
2a,18,fail,7,7,1,4,60,5,4,6,60,60
2a,18,fail,7,7,2,6,60,5,4,6,60,60
2a,18,fail,8,6,1,2,50,4,2,8,50,50
2a,18,fail,8,6,2,8,50,6,2,8,50,50
2a,18,fail,9,9,1,5,70,5,5,7,70,70
2a,18,fail,9,9,2,7,70,5,5,7,70,70
2a,18,fail,10,8,1,6,30,4,6,8,30,30
2a,18,fail,10,8,2,8,30,6,6,8,30,30
2a,18,fail,11,3,1,2,60,2,2,6,60,20
2a,18,fail,11,3,2,6,20,8,2,6,60,20
2a,18,fail,12,5,1,3,80,3,3,6,80,40
2a,18,fail,12,5,2,6,40,7,3,6,80,40
2a,18,fail,13,5,1,4,30,5,4,6,30,20
2a,18,fail,13,5,2,6,20,5,4,6,30,20
2a,18,fail,14,9,1,5,80,3,5,8,80,50
2a,18,fail,14,9,2,8,50,7,5,8,80,50
2a,18,fail,15,8,1,6,40,4,6,8,40,30
2a,18,fail,15,8,2,8,30,6,6,8,40,30
2a,18,lift,16,4,1,5,20,3,5,5,20,60
2a,18,lift,16,4,2,5,60,7,5,5,20,60
2a,18,lift,17,5,1,6,30,3,6,6,30,80
2a,18,lift,17,5,2,6,80,7,6,6,30,80
2a,18,lift,18,3,1,4,30,4,4,4,30,60
2a,18,lift,18,3,2,4,60,6,4,4,30,60
2a,18,lift,19,4,1,5,20,3,5,5,20,70
2a,18,lift,19,4,2,5,70,7,5,5,20,70
2a,18,lift,20,4,1,8,20,3,8,8,20,40
2a,18,lift,20,4,2,8,40,6,8,8,20,40
2a,18,lift,21,4,1,4,40,2,4,8,40,40
2a,18,lift,21,4,2,8,40,4,4,8,40,40
2a,18,lift,22,5,1,4,60,4,4,6,60,60
2a,18,lift,22,5,2,6,60,6,4,6,60,60
2a,18,lift,23,5,1,2,50,4,2,8,50,50
2a,18,lift,23,5,2,8,50,6,2,8,50,50
2a,18,lift,24,6,1,5,70,4,5,7,70,70
2a,18,lift,24,6,2,7,70,6,5,7,70,70
2a,18,lift,25,3,1,6,30,5,6,8,30,30
2a,18,lift,25,3,2,8,30,5,6,8,30,30
2a,18,lift,26,2,1,2,60,6,2,6,60,20
2a,18,lift,26,2,2,6,20,4,2,6,60,20
2a,18,lift,27,3,1,3,80,6,3,6,80,40
2a,18,lift,27,3,2,6,40,3,3,6,80,40
2a,18,lift,28,2,1,4,30,6,4,6,30,20
2a,18,lift,28,2,2,6,20,4,4,6,30,20
2a,18,lift,29,6,1,5,80,7,5,8,80,50
2a,18,lift,29,6,2,8,50,3,5,8,80,50
2a,18,lift,30,4,1,6,40,5,6,8,40,30
2a,18,lift,30,4,2,8,30,4,6,8,40,30
2a,19,fail,1,5,1,5,20,6,5,5,20,60
2a,19,fail,1,5,2,5,60,3,5,5,20,60
2a,19,fail,2,7,1,6,30,2,6,6,30,80
2a,19,fail,2,7,2,6,80,8,6,6,30,80
2a,19,fail,3,5,1,4,30,3,4,4,30,60
2a,19,fail,3,5,2,4,60,7,4,4,30,60
2a,19,fail,4,6,1,5,20,7,5,5,20,70
2a,19,fail,4,6,2,5,70,3,5,5,20,70
2a,19,fail,5,8,1,8,20,3,8,8,20,40
2a,19,fail,5,8,2,8,40,7,8,8,20,40
2a,19,fail,6,6,1,4,40,7,4,8,40,40
2a,19,fail,6,6,2,8,40,3,4,8,40,40
2a,19,fail,7,7,1,4,60,6,4,6,60,60
