exp_index,subject,condition,scenario,box_weight,contestant,strength,effort,resp,s1,s2,e1,e2
1b,6,fail,10,9,2,8,30,6,6,8,30,30
1b,6,fail,11,6,1,2,60,2,2,6,60,20
1b,6,fail,11,6,2,6,20,8,2,6,60,20
1b,6,fail,12,6,1,3,80,2,3,6,80,40
1b,6,fail,12,6,2,6,40,8,3,6,80,40
1b,6,fail,13,7,1,4,30,4,4,6,30,20
1b,6,fail,13,7,2,6,20,6,4,6,30,20
1b,6,fail,14,10,1,5,80,4,5,8,80,50
1b,6,fail,14,10,2,8,50,6,5,8,80,50
1b,6,fail,15,9,1,6,40,4,6,8,40,30
1b,6,fail,15,9,2,8,30,6,6,8,40,30
1b,6,lift,16,2,1,5,20,2,5,5,20,60
1b,6,lift,16,2,2,5,60,8,5,5,20,60
1b,6,lift,17,4,1,6,30,3,6,6,30,80
1b,6,lift,17,4,2,6,80,7,6,6,30,80
1b,6,lift,18,2,1,4,30,3,4,4,30,60
1b,6,lift,18,2,2,4,60,7,4,4,30,60
1b,6,lift,19,3,1,5,20,2,5,5,20,70
1b,6,lift,19,3,2,5,70,8,5,5,20,70
1b,6,lift,20,2,1,8,20,3,8,8,20,40
1b,6,lift,20,2,2,8,40,7,8,8,20,40
1b,6,lift,21,2,1,4,40,4,4,8,40,40
1b,6,lift,21,2,2,8,40,6,4,8,40,40
1b,6,lift,22,3,1,4,60,4,4,6,60,60
1b,6,lift,22,3,2,6,60,6,4,6,60,60
1b,6,lift,23,3,1,2,50,2,2,8,50,50
1b,6,lift,23,3,2,8,50,8,2,8,50,50
1b,6,lift,24,4,1,5,70,4,5,7,70,70
1b,6,lift,24,4,2,7,70,6,5,7,70,70
1b,6,lift,25,2,1,6,30,4,6,8,30,30
1b,6,lift,25,2,2,8,30,6,6,8,30,30
1b,7,fail,1,8,1,5,20,9,5,5,20,60
1b,7,fail,1,8,2,5,60,3,5,5,20,60
1b,7,fail,2,8,1,6,30,9,6,6,30,80
1b,7,fail,2,8,2,6,80,1,6,6,30,80
1b,7,fail,3,6,1,4,30,8,4,4,30,60
1b,7,fail,3,6,2,4,60,4,4,4,30,60
